,terms,docs
59,qwerti,"[(2, 1), (113, 1), (114, 1), (115, 1)]"
60,us,"[(2, 1), (113, 1), (114, 1), (115, 1)]"
61,version,"[(2, 1), (113, 1), (114, 1), (115, 1)]"
62,gb,"[(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 1), (9, 1), (10, 1), (11, 3), (12, 1), (30, 2), (45, 1), (46, 2), (47, 2), (50, 2), (52, 2), (53, 2), (54, 2), (63, 1), (79, 1), (80, 1), (81, 2), (82, 2), (83, 2), (84, 2), (85, 2), (86, 2), (88, 1), (91, 2), (92, 2), (104, 2), (105, 2), (106, 2), (107, 2), (111, 2), (112, 2), (117, 2), (128, 2), (129, 2), (136, 2), (137, 2), (141, 2), (158, 1), (160, 1), (170, 2), (172, 2), (176, 2), (177, 2), (178, 2), (211, 2)]"
63,portatil,"[(3, 1), (4, 1), (5, 1), (6, 1), (8, 1), (9, 1), (10, 1), (19, 2), (20, 1), (22, 1), (24, 1), (30, 1), (35, 1), (38, 1), (39, 1), (40, 1), (42, 1), (45, 1), (46, 1), (47, 1), (48, 1), (52, 1), (53, 1), (54, 1), (63, 1), (64, 2), (65, 2), (66, 2), (68, 2), (72, 1), (75, 1), (76, 1), (77, 1), (87, 1), (88, 1), (91, 1), (92, 1), (93, 1), (95, 1), (96, 2), (97, 1), (98, 1), (102, 2), (103, 2), (120, 1), (125, 1), (126, 1), (130, 1), (133, 1), (135, 1), (136, 1), (137, 1), (147, 2), (153, 1), (158, 1), (159, 1), (162, 1), (164, 1), (172, 1), (175, 1), (176, 1), (177, 1), (178, 1), (180, 1), (185, 3), (187, 2), (188, 1), (189, 1), (190, 1), (191, 1), (192, 2), (199, 3), (203, 1), (205, 1), (211, 1), (212, 1), (214, 2), (216, 2), (220, 1)]"
64,fhd,"[(3, 1), (4, 1), (5, 1), (7, 1), (11, 1), (12, 1), (29, 1), (39, 1), (52, 1), (53, 1), (82, 1), (83, 1), (104, 1), (105, 1), (106, 1), (107, 1), (113, 1), (114, 1), (115, 1), (138, 1), (139, 1), (140, 1), (142, 2), (143, 1), (144, 1), (145, 1), (177, 1), (178, 1)]"
65,uhd,"[(3, 1), (4, 1), (5, 1), (7, 1), (146, 1), (158, 1)]"
66,graphic,"[(3, 1), (4, 1), (23, 1), (37, 1), (52, 1), (53, 1), (146, 1), (175, 1)]"
67,10f,"[(3, 1), (4, 1)]"
68,a514,"[(5, 1)]"
69,53pb,"[(5, 1)]"
70,notebook,"[(5, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (15, 1), (16, 1), (17, 1), (27, 1), (28, 1), (29, 1), (35, 2), (39, 1), (40, 1), (42, 1), (46, 1), (54, 1), (65, 1), (66, 1), (68, 1), (75, 1), (76, 1), (77, 1), (81, 1), (84, 1), (85, 1), (86, 1), (87, 1), (88, 1), (91, 2), (92, 2), (95, 1), (96, 1), (102, 2), (103, 2), (104, 1), (105, 1), (106, 1), (107, 1), (111, 1), (112, 1), (116, 1), (117, 1), (120, 1), (138, 1), (139, 1), (140, 1), (142, 2), (143, 1), (145, 1), (147, 2), (158, 1), (159, 1), (160, 1), (161, 1), (162, 1), (176, 1), (177, 1), (178, 1), (187, 1), (188, 1), (189, 1), (190, 1), (191, 1), (192, 1), (211, 1)]"
71,processor,"[(5, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (36, 1), (37, 1), (91, 1), (92, 1), (111, 1), (112, 1), (116, 1), (117, 1), (128, 1), (129, 1), (172, 1)]"
72,ddr4,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (30, 1), (36, 1), (45, 1), (84, 1), (87, 1), (88, 1), (89, 1), (90, 1), (136, 1), (137, 1), (138, 1), (142, 1), (143, 1), (144, 1), (145, 1), (158, 1), (159, 1), (160, 1), (166, 1), (170, 1), (175, 1), (176, 1)]"
73,pci,"[(5, 1), (11, 1), (12, 1), (138, 1), (139, 1), (140, 1), (142, 1), (143, 1), (144, 1), (145, 1), (160, 1)]"
74,nvme,"[(5, 1), (11, 1), (12, 1), (85, 1), (86, 1), (90, 1), (159, 1)]"
75,display,"[(5, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (55, 1), (62, 1), (85, 1), (86, 1), (87, 1), (88, 1), (90, 1), (94, 1), (95, 1), (99, 1), (104, 1), (105, 1), (106, 1), (107, 1), (108, 1), (109, 1), (110, 1), (111, 1), (112, 1), (116, 1), (117, 1), (158, 1), (159, 1), (160, 1), (176, 1), (177, 1), (178, 1)]"
76,ip,"[(5, 1), (7, 1), (10, 1), (11, 1), (12, 1), (17, 1), (54, 1), (79, 1), (80, 1), (82, 1), (102, 1), (103, 1), (104, 1), (105, 1), (106, 1), (107, 1), (117, 1), (144, 1), (176, 1), (189, 1), (190, 1), (191, 1)]"
77,led,"[(5, 1), (8, 1), (9, 1), (11, 1), (20, 1), (85, 1), (86, 1), (99, 1), (125, 1), (160, 1), (195, 1)]"
78,lcd,"[(5, 1), (8, 1), (9, 1), (11, 1), (12, 1), (43, 1), (55, 1), (94, 1), (165, 1), (179, 1)]"
79,hom,"[(5, 1), (6, 1), (7, 1), (11, 1), (12, 1), (81, 1), (82, 1), (84, 1), (108, 1), (109, 1), (110, 1), (139, 1), (140, 1), (141, 1), (144, 1), (145, 1), (211, 1)]"
80,silver,"[(5, 1), (8, 1), (9, 1), (10, 1), (79, 1), (80, 1), (90, 1), (146, 1)]"
81,a515,"[(6, 1)]"
82,p1vi,"[(6, 1)]"
83,argent,"[(6, 1), (25, 1), (26, 1), (29, 1), (30, 1), (63, 1), (82, 1), (83, 1), (120, 1)]"
84,cm,"[(6, 1), (30, 1), (60, 1), (61, 1), (79, 1), (80, 1), (136, 1), (137, 1), (201, 1)]"
85,x,"[(6, 1), (18, 1), (47, 1), (60, 1), (61, 1), (63, 1), (65, 1), (66, 1), (102, 1), (103, 1), (126, 1), (135, 1), (136, 1), (137, 1), (146, 1), (176, 1), (201, 2)]"
86,pixel,"[(6, 1), (136, 1), (137, 1), (173, 1), (176, 1)]"
87,pentium,"[(6, 1), (10, 1), (89, 1), (129, 1), (146, 1)]"
88,gold,"[(6, 1)]"
89,wi,"[(6, 1), (47, 1), (85, 1), (86, 1), (87, 1), (88, 1), (90, 1), (128, 1), (166, 1), (176, 1)]"
90,fi,"[(6, 1), (47, 1), (85, 1), (86, 1), (87, 1), (88, 1), (90, 1), (128, 1), (166, 1), (176, 1)]"
91,s,"[(6, 1), (52, 1), (53, 1), (81, 1), (84, 1), (171, 1)]"
92,tastier,"[(6, 1), (52, 1), (53, 1), (78, 1), (90, 1), (162, 1), (181, 2), (186, 1), (189, 1), (190, 1), (191, 1), (211, 1), (214, 1)]"
93,tedesc,"[(6, 1)]"
94,c24,"[(7, 1)]"
95,fiss,"[(7, 1), (50, 1), (122, 1), (123, 1), (124, 1), (154, 1), (155, 1), (156, 1), (157, 1), (166, 1), (169, 2), (170, 1), (208, 1)]"
96,one,"[(7, 1), (69, 1), (82, 1)]"
97,i3,"[(7, 1), (45, 1), (46, 1), (52, 1), (53, 1), (85, 1), (86, 1), (113, 1), (114, 1), (115, 1), (117, 1), (159, 2), (160, 1)]"
98,10110u,"[(7, 1)]"
99,m,"[(7, 1), (87, 1), (88, 1), (90, 1), (138, 1), (139, 1), (140, 1), (142, 1), (143, 1), (144, 1), (145, 1), (146, 1), (170, 1)]"
100,wireless,"[(7, 1), (55, 2), (132, 1), (133, 2), (165, 1), (179, 1), (181, 2), (209, 1), (210, 1), (213, 1)]"
101,lan,"[(7, 1), (37, 1)]"
102,chromebook,"[(8, 1), (9, 1), (10, 1), (27, 1), (28, 1), (29, 1), (83, 1), (111, 1), (112, 1), (116, 1), (153, 1)]"
103,cb314,"[(8, 1), (9, 1)]"
104,1h,"[(8, 1), (9, 1), (10, 1)]"
105,c2w1,"[(8, 1), (9, 1)]"
106,n4000,"[(8, 1), (9, 1), (47, 1), (83, 1), (116, 1), (127, 1), (146, 1)]"
107,4gb,"[(8, 1), (9, 1), (10, 1), (12, 1), (17, 1), (18, 1), (27, 1), (28, 1), (29, 1), (37, 1), (63, 1), (88, 1), (116, 1), (127, 1), (138, 1), (146, 1), (161, 1), (175, 1)]"
108,emmc,"[(8, 1), (9, 1), (10, 1), (27, 1), (28, 1), (29, 1), (81, 1), (83, 1), (84, 1), (104, 1), (105, 1), (106, 1), (107, 1), (111, 1), (112, 1), (116, 1), (127, 1), (171, 1), (175, 1)]"
109,sched,"[(8, 1), (9, 1), (50, 1), (134, 1)]"
110,grafic,"[(8, 1), (9, 1), (10, 1), (82, 1)]"
111,chrom,"[(8, 1), (9, 1), (10, 1), (27, 1), (28, 1), (29, 1), (83, 1), (111, 1), (112, 1), (116, 1)]"
112,os,"[(8, 1), (9, 1), (10, 1), (83, 1), (111, 1), (112, 1), (116, 1), (138, 1), (142, 1), (143, 1)]"
113,cb,"[(8, 1), (9, 1), (10, 1), (29, 1), (83, 1)]"
114,cb514,"[(10, 1)]"
115,p9a,"[(10, 1)]"
116,n4200,"[(10, 1)]"
117,nitr,"[(11, 1), (12, 1)]"
